id,distribution,consent,gender,age,mcq,stars_test_score,stars_int_score,stars_help_score,stars_m_test_score,stars_m_int_score,stars_m_help_score,rmars_test_score,rmars_num_score,rmars_course_score,rmars_s_test_score,rmars_s_num_score,rmars_s_course_score,sticsa_trait_score,sticsa_pre_state_score,sticsa_post_state_score,mcq_score
1U3uo,preview,Yes,female,19,maths,3.625,2.4545454545454546,2,3.5,2.25,2.25,4.3,1,1.8,4.4,2.4,2,1.6666666666666667,1.0476190476190477,1.1428571428571428,3
o0nLV,preview,Yes,female,19,stats,1.375,1.0909090909090908,1,1,1,1,1,1,1,1.3,1,1,1.0952380952380953,1.0476190476190477,1.0476190476190477,3
KQSrs,preview,NA,male,21,stats,4.125,3.272727272727273,3,4.375,2.375,3,4.3,1.8,2.8,4.6,3.4,3.2,2.761904761904762,2.4761904761904763,2.9047619047619047,2
GwzPE,preview,Yes,non-binary,19,maths,4.25,3.3636363636363638,2.75,4,2.25,2,3.7,1.8,2.2,4.4,4.2,2.6,1.1428571428571428,1,1.1904761904761905,2
VAzZ4,preview,Yes,female,19,maths,3.125,2.1818181818181817,2.5,2.75,2.125,2.75,3.4,2.2,2.6,3.5,2.4,2,2.3333333333333335,1.7619047619047619,1.6666666666666667,2
UJPCB,preview,Yes,female,18,stats,4.875,4.181818181818182,4.25,4.75,4.5,4.5,5,4.2,3.8,5,4.2,4.6,3.5714285714285716,2.8095238095238093,3.0952380952380953,4
nRG2C,preview,NA,female,20,maths,2.25,2.5454545454545454,2,1.625,2.25,1.75,2.3,1,1.2,2.6,2.2,1.4,1.2380952380952381,1,1.1,5
UfHKg,preview,Yes,other/pnts,18,stats,4.875,3.3636363636363638,2.25,4.125,2.75,2.5,4.7,1.4,2.8,4.8,2.4,3.8,3.0952380952380953,2.2857142857142856,1.9523809523809523,4
D09VK,preview,Yes,female,20,maths,4.375,2,2.75,4.625,2.875,3.25,4.2,2.8,2.6,4.3,3.8,2.8,2.142857142857143,1.1904761904761905,2.2857142857142856,NA
ulrFC,preview,Yes,female,18,stats,4,2.5454545454545454,3,3.75,2.5,3.25,3.8,1.2,1.8,4.1,1.8,1.6,3.0476190476190474,2.1904761904761907,2.3333333333333335,4
qQwMw,preview,Yes,female,20,maths,3.375,3.5454545454545454,3,3.375,3.75,3.25,3.6,3.4,2.8,4,3.8,2.4,2.2857142857142856,1.8571428571428572,2.142857142857143,2
YI5OX,preview,Yes,male,23,maths,3.75,2.909090909090909,3.5,2.125,2,2,3.3,2.2,1.75,4,3.4,3.4,2.3333333333333335,1.1904761904761905,1,4
lvGzW,anonymous,Yes,female,19,stats,2.25,2,2.5,1.875,1.625,2.75,2.3,1.2,1.6,2.1,1.6,1,2.5714285714285716,1.2380952380952381,1.4761904761904763,4
kYoLp,anonymous,Yes,female,21,stats,4.25,2.5454545454545454,2.25,3.5,2.5,2.5,4.9,1.8,2.8,4.9,3.6,2.4,2.238095238095238,1.1904761904761905,1.1904761904761905,2
SAkjm,anonymous,Yes,male,20,stats,4.375,3.272727272727273,5,4.125,3,5,4.1,2.4,2.25,4.5,3.8,3,2.0952380952380953,2.0476190476190474,1.619047619047619,3
XdULZ,anonymous,Yes,other/pnts,18,maths,4.375,2.4545454545454546,2.75,4.25,1.875,3,4.9,2.8,2.2,5,4.2,2.8,2.85,2.238095238095238,2.142857142857143,1
hAk7r,anonymous,Yes,female,19,stats,5,2.909090909090909,3,4.857142857142857,2.75,3,5,3.4,2.8,5,3.6,3.4,1.4285714285714286,1.2380952380952381,1.5714285714285714,3
rhVte,anonymous,Yes,other/pnts,20,maths,2,1,1.25,1.625,1.125,1.5,1.7,1,1,2.1,1,1.2,1.2380952380952381,1.1904761904761905,1.1904761904761905,4
3UxFq,anonymous,Yes,female,19,maths,2.375,1.6363636363636365,2.25,2.375,2,2.5,2.5,1,1.2,3.1,1.4,1.4,2.5238095238095237,2.0952380952380953,2.4761904761904763,4
9JizO,anonymous,Yes,male,20,stats,3.625,2.3636363636363638,4.25,4,2.5,4.5,3.7,1.8,2,3.8,2.2,2.4,3.2857142857142856,2.3333333333333335,3,4
FXs3X,anonymous,Yes,female,19,maths,3.125,2.272727272727273,3.25,3.125,2,2.5,3.5,1,1.8,3.6,2.8,1.6,1.3333333333333333,1.1428571428571428,1.2380952380952381,3
ocAbh,anonymous,NA,male,18,stats,3,2.4545454545454546,2.25,3.375,2.375,3.25,3.7,1.8,2.4,3.1,2.8,2,1.8571428571428572,1.5238095238095237,1.5714285714285714,2
mRJfz,anonymous,Yes,female,18,maths,3.875,2.5454545454545454,2.25,4,3.375,3.25,4,2.6,3.2,4,3.2,2.8,1.9047619047619047,1.380952380952381,1.2380952380952381,4
6eXcl,anonymous,Yes,female,20,stats,3.625,3.1818181818181817,1.75,3.5,2.75,2.25,3.6,2.2,1.6,3.9,3.4,2.4,2.0952380952380953,1.5238095238095237,1.8095238095238095,2
FEPUM,anonymous,Yes,female,19,stats,2.25,1.7272727272727273,1.5,2.375,1.5,1,2.3,1.2,1,3,1,1,2.857142857142857,2.2857142857142856,1.6666666666666667,5
jrDKg,anonymous,Yes,female,20,maths,2.75,2.3636363636363638,1,1.875,1.875,1,2.2,1.6,1.2,2.7,2.2,1.4,1.2857142857142858,1.0952380952380953,1.1904761904761905,NA
d4rJu,anonymous,Yes,other/pnts,57,maths,2.5,1.2727272727272727,1.25,2.5,1.625,1,2.5,1,1.2,2.4,1,1.2,2.4285714285714284,1.2380952380952381,1.4761904761904763,3
sxLaB,anonymous,Yes,female,21,maths,4,3.3636363636363638,3.5,4.875,4.25,4.25,5,4.8,4.6,4.5,4.5,2.8,3.0476190476190474,2.380952380952381,2.6666666666666665,NA
Z5pG4,anonymous,Yes,female,20,stats,3.625,2.5454545454545454,2.25,3.75,2.375,2.5,4.1,2.5,2.4,4,2.2,3,2.380952380952381,2.2857142857142856,1.6666666666666667,5
an4Bk,anonymous,Yes,male,18,stats,3.625,4,5,4.125,4.25,5,4.4,3.8,4,4.4,3.8,4.2,2.4285714285714284,2,1.2857142857142858,2
AB3Ij,anonymous,Yes,female,19,maths,4.75,4.363636363636363,3.75,5,4.875,4,4.8,4,4.4,4.6,3.6,4,3.9047619047619047,2.380952380952381,3.1904761904761907,3
C7cZS,anonymous,Yes,other/pnts,20,maths,3.75,3.1818181818181817,3.25,2.5,1.75,3.75,2.9,1.6,1.2,3.6,1.8,2,2.9523809523809526,2.4761904761904763,1.8571428571428572,5
GXFHo,anonymous,Yes,female,18,stats,3.75,3.4545454545454546,4.25,3.5,3.4285714285714284,3.5,3.4,1.2,1.8,3.9,2.6,2.2,2.0476190476190474,1.5238095238095237,1.2857142857142858,4
il39l,anonymous,Yes,female,19,stats,4.25,2.272727272727273,2,4.625,2.625,2.25,4.9,2,3.2,4.9,1,3.2,3.238095238095238,2.238095238095238,2.9047619047619047,NA
IaQTG,anonymous,Yes,female,19,maths,4,1.9090909090909092,5,3.625,1.875,5,3.1,1.4,2.4,4.3,3.6,3,2.619047619047619,1.2380952380952381,2,4
h9bgT,anonymous,Yes,female,21,maths,3.125,2.272727272727273,3.5,3.25,2,3.75,3.5,1,2,3.5,2.6,2,2.2857142857142856,2.4285714285714284,1.4761904761904763,4
ji41d,anonymous,Yes,female,16,stats,3.625,3.1818181818181817,3.75,3.375,2.875,3,3,1,2.2,4.2,1.8,2.6,2.857142857142857,2.142857142857143,1.5714285714285714,2
K4ccy,anonymous,Yes,female,19,stats,1.875,1.7272727272727273,2.5,1.625,1.125,1.25,1.8,1,2,1.7,1.4,2,1.7619047619047619,1.3333333333333333,1.1,5
2Nrw1,anonymous,Yes,female,18,maths,2.375,1.4545454545454546,2.5,2.625,1.375,3.5,2.9,1.2,1,3,1,1.2,1.9523809523809523,1.5714285714285714,1.0476190476190477,4
91elw,anonymous,Yes,male,19,maths,3.5,2.8181818181818183,2,3.625,3.25,1.5,3.5,3,2.6,3.3333333333333335,3.6,1.8,2.3333333333333335,1.619047619047619,1.7142857142857142,5
PWZd9,anonymous,Yes,female,19,stats,2.875,2.3636363636363638,2.25,3.125,2.125,2.75,2.8,1.4,1.8,3.4,2.8,2,1.8571428571428572,1.8571428571428572,1.55,5
2u1pE,anonymous,Yes,female,19,maths,3.875,3,4.25,4.25,3.125,4,4.3,2,3.2,4.6,1.8,3.2,2.9523809523809526,2.7142857142857144,2.4285714285714284,4
WdOtI,anonymous,Yes,male,18,stats,3.625,2.4545454545454546,4,2.75,1.875,3,2.4,1.6,1.4,4.1,2.8,1.8,2.3333333333333335,2.0952380952380953,2.4285714285714284,NA
mWF7h,anonymous,Yes,other/pnts,18,stats,2.5,1.5454545454545454,2,1.625,1,1,1.6,1,1,2.7,1,1.6,1.5238095238095237,1.1904761904761905,1,NA
EPLlm,anonymous,Yes,female,19,maths,4,3.090909090909091,2,3.125,2.625,2,2.7,1,1.6,3.4,1.8,2,2.0952380952380953,1.4761904761904763,1.1428571428571428,4
6ieyf,anonymous,Yes,female,20,maths,2.625,1.3636363636363635,1,2.75,1.875,1,3.4,1.2,1.2,3.4,1.8,1.4,1.7142857142857142,1.4285714285714286,1.3333333333333333,2
khOxC,anonymous,Yes,female,19,stats,4.375,2.727272727272727,3.3333333333333335,5,3.125,3.5,4,1.6,3.2,4.5,2.6,3.2,2.4761904761904763,1.7619047619047619,2.142857142857143,3
zVpq5,anonymous,Yes,female,17,maths,4.5,2.272727272727273,4.5,4.375,2.5,4.5,3.5,2.6,2.4,3.8,3.2,2.8,3.5714285714285716,2.9047619047619047,2.857142857142857,5
adPdh,anonymous,Yes,female,19,stats,2.375,1.6363636363636365,1.75,2.25,1.125,1.75,2.4,1.2,1.4,2.3,1.4,1.4,1.5714285714285714,1,1.380952380952381,NA
RCDNX,anonymous,Yes,female,18,stats,4.25,2.3,3.5,4.125,2.375,3,3.7,1,2.6,4.4,2.6,2.4,2.857142857142857,1.9523809523809523,1.7142857142857142,4
