recordeddate,id,gender,age,height,weight,instagram,condition,choice_perc,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,bss1,bss2,bss3,bss4,bss5,bss6,bss7,bss8,bss9,bss10,bss11,bss12,bss13,bss14,bss15,bss16,bss17,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,sac1,sac2,sac3,sac4,pacsr1,pacsr2,pacsr3,pacsr4
2017-12-08T08:46:54Z,NGK2202,Female,18-29,1.62,63.5,No,BPlarger,33.3333333,4,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,6,3,3,4,2,6,5,4,6,5,3,3,2,2,2,3,1,3,3,4,3,3,3,3,2,3,3,2,2,3,1,7,7,7,7
2017-12-08T08:51:47Z,TFI7790,Female,18-29,1.68,60,Yes,BPaverage,25,2,2,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,2,7,7,6,7,5,3,7,7,7,7,7,6,7,6,6,6,7,4,4,4,4,4,4,4,4,4,5,1,1,1,1,6,6,6,6
2017-12-08T08:59:41Z,UIS7608,Female,18-29,1.68,56,Yes,BPlarger,100,2,1,1,1,1,4,4,1,1,2,2,1,3,3,4,1,1,5,1,4,1,4,6,5,7,6,5,6,6,4,4,3,1,2,7,1,4,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,9,9,9,9
2017-12-08T10:28:46Z,BRY4215,Female,18-29,1.66,51,Yes,BPlarger,100,2,2,1,2,3,1,2,3,1,2,3,2,1,1,2,2,2,3,2,2,5,5,5,3,7,6,3,7,7,6,5,6,4,5,3,3,4,3,3,4,3,3,3,3,1,2,2,4,4,4,2,8,8,8,8
2017-12-08T11:01:38Z,AYV6112,Female,18-29,1.67,52.7,Yes,BPaverage,33.3333333,3,2,4,2,3,1,1,1,3,4,2,2,1,2,3,2,1,1,2,1,3,3,4,3,3,3,3,4,5,2,3,1,1,2,4,1,2,3,2,2,3,3,2,2,3,3,1,4,3,2,3,8,7,6,7
2017-12-08T15:08:04Z,ZMZ5955,Female,18-29,1.73,63.5,Yes,BPlarger,100,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,6,6,2,6,6,5,6,7,7,6,7,2,4,6,7,6,3,2,4,2,3,2,1,3,3,2,4,3,5,1,10,9,10,9
2017-12-08T15:44:11Z,DBI7850,Female,18-29,1.65,58,No,BPaverage,50,1,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,3,1,1,1,7,7,7,7,5,5,6,7,7,6,6,6,6,7,7,6,5,5,5,5,5,5,5,5,4,5,5,1,1,2,1,6,6,6,6
2017-12-08T21:57:02Z,VFZ1330,Female,18-29,1.67,100,Yes,Control,0,2,1,2,1,1,1,1,1,2,1,1,3,1,3,1,1,3,1,1,1,2,3,3,3,5,6,7,7,7,3,2,5,1,2,3,2,5,4,2,4,3,2,1,2,2,3,3,1,NA,NA,NA,10,9,10,10
2017-12-09T04:21:51Z,QFX7225,Female,18-29,1.61,70,Yes,Control,50,4,1,1,1,3,1,1,1,4,4,1,1,1,2,1,4,3,1,3,1,5,6,5,3,3,6,6,7,7,3,4,5,3,3,6,6,6,4,3,4,3,4,4,4,4,4,5,1,1,1,1,8,8,9,9
2017-12-09T04:48:48Z,VTT5806,Female,18-29,1.62,63.5,Yes,BPlarger,50,4,2,3,1,4,2,2,1,4,4,2,3,1,2,2,4,4,2,1,2,6,6,7,3,7,7,6,7,7,7,7,7,5,4,7,5,7,4,4,5,5,4,4,5,5,5,5,3,4,2,2,7,7,7,7
